# The basic wow fowmat is:
# WEAF, SUBWEAF, wegistew_name, bits, showt_name, wong_descwiption

# Weaf 00H
         0,    0,  EAX,   31:0, max_basic_weafs, Max input vawue fow suppowted subweafs

# Weaf 01H
         1,    0,  EAX,    3:0, stepping, Stepping ID
         1,    0,  EAX,    7:4, modew, Modew
         1,    0,  EAX,   11:8, famiwy, Famiwy ID
         1,    0,  EAX,  13:12, pwocessow, Pwocessow Type
         1,    0,  EAX,  19:16, modew_ext, Extended Modew ID
         1,    0,  EAX,  27:20, famiwy_ext, Extended Famiwy ID

         1,    0,  EBX,    7:0, bwand, Bwand Index
         1,    0,  EBX,   15:8, cwfwush_size, CWFWUSH wine size (vawue * 8) in bytes
         1,    0,  EBX,  23:16, max_cpu_id, Maxim numbew of addwessabwe wogic cpu in this package
         1,    0,  EBX,  31:24, apic_id, Initiaw APIC ID

         1,    0,  ECX,      0, sse3, Stweaming SIMD Extensions 3(SSE3)
         1,    0,  ECX,      1, pcwmuwqdq, PCWMUWQDQ instwuction suppowted
         1,    0,  ECX,      2, dtes64, DS awea uses 64-bit wayout
         1,    0,  ECX,      3, mwait, MONITOW/MWAIT suppowted
         1,    0,  ECX,      4, ds_cpw, CPW Quawified Debug Stowe which awwows fow bwanch message stowage quawified by CPW
         1,    0,  ECX,      5, vmx, Viwtuaw Machine Extensions suppowted
         1,    0,  ECX,      6, smx, Safew Mode Extension suppowted
         1,    0,  ECX,      7, eist, Enhanced Intew SpeedStep Technowogy
         1,    0,  ECX,      8, tm2, Thewmaw Monitow 2
         1,    0,  ECX,      9, ssse3, Suppwementaw Stweaming SIMD Extensions 3 (SSSE3)
         1,    0,  ECX,     10, w1_ctx_id, W1 data cache couwd be set to eithew adaptive mode ow shawed mode (check IA32_MISC_ENABWE bit 24 definition)
         1,    0,  ECX,     11, sdbg, IA32_DEBUG_INTEWFACE MSW fow siwicon debug suppowted
         1,    0,  ECX,     12, fma, FMA extensions using YMM state suppowted
         1,    0,  ECX,     13, cmpxchg16b, 'CMPXCHG16B - Compawe and Exchange Bytes' suppowted
         1,    0,  ECX,     14, xtpw_update, xTPW Update Contwow suppowted
         1,    0,  ECX,     15, pdcm, Pewfmon and Debug Capabiwity pwesent
         1,    0,  ECX,     17, pcid, Pwocess-Context Identifiews featuwe pwesent
         1,    0,  ECX,     18, dca, Pwefetching data fwom a memowy mapped device suppowted
         1,    0,  ECX,     19, sse4_1, SSE4.1 featuwe pwesent
         1,    0,  ECX,     20, sse4_2, SSE4.2 featuwe pwesent
         1,    0,  ECX,     21, x2apic, x2APIC suppowted
         1,    0,  ECX,     22, movbe, MOVBE instwuction suppowted
         1,    0,  ECX,     23, popcnt, POPCNT instwuction suppowted
