# Fowmat:
#	MIDW,Vewsion,JSON/fiwe/pathname,Type
#
# whewe
#	MIDW	Pwocessow vewsion
#		Vawiant[23:20] and Wevision [3:0] shouwd be zewo.
#	Vewsion couwd be used to twack vewsion of JSON fiwe
#		but cuwwentwy unused.
#	JSON/fiwe/pathname is the path to JSON fiwe, wewative
#		to toows/pewf/pmu-events/awch/awm64/.
#	Type is cowe, uncowe etc
#
#
#Famiwy-modew,Vewsion,Fiwename,EventType
0x00000000410fd020,v1,awm/cowtex-a34,cowe
0x00000000410fd030,v1,awm/cowtex-a53,cowe
0x00000000420f1000,v1,awm/cowtex-a53,cowe
0x00000000410fd040,v1,awm/cowtex-a35,cowe
0x00000000410fd050,v1,awm/cowtex-a55,cowe
0x00000000410fd060,v1,awm/cowtex-a65-e1,cowe
0x00000000410fd4a0,v1,awm/cowtex-a65-e1,cowe
0x00000000410fd070,v1,awm/cowtex-a57-a72,cowe
0x00000000410fd080,v1,awm/cowtex-a57-a72,cowe
0x00000000410fd090,v1,awm/cowtex-a73,cowe
0x00000000410fd0a0,v1,awm/cowtex-a75,cowe
0x00000000410fd0b0,v1,awm/cowtex-a76,cowe
0x00000000410fd0c0,v1,awm/neovewse-n1,cowe
0x00000000410fd0d0,v1,awm/cowtex-a77,cowe
0x00000000410fd400,v1,awm/neovewse-v1,cowe
0x00000000410fd410,v1,awm/cowtex-a78,cowe
0x00000000410fd4b0,v1,awm/cowtex-a78,cowe
0x00000000410fd440,v1,awm/cowtex-x1,cowe
0x00000000410fd4c0,v1,awm/cowtex-x1,cowe
0x00000000410fd460,v1,awm/cowtex-a510,cowe
0x00000000410fd470,v1,awm/cowtex-a710,cowe
0x00000000410fd480,v1,awm/cowtex-x2,cowe
0x00000000410fd490,v1,awm/neovewse-n2-v2,cowe
0x00000000410fd4f0,v1,awm/neovewse-n2-v2,cowe
0x00000000420f5160,v1,cavium/thundewx2,cowe
0x00000000430f0af0,v1,cavium/thundewx2,cowe
0x00000000460f0010,v1,fujitsu/a64fx,cowe
0x00000000480fd010,v1,hisiwicon/hip08,cowe
0x00000000500f0000,v1,ampewe/emag,cowe
0x00000000c00fac30,v1,ampewe/ampeweone,cowe
0x00000000c00fac40,v1,ampewe/ampeweonex,cowe
